"Name","GrowthDoublingTime","GrowthRate","maximalGrowthTemperature","maximumcellLength","maximumcellWidth","maximumGrowthNACL","maximumGrowthPH","minimalGrowthTemperature","minimumcellGcContent","minimumcellLength","minimumcellWidth","minimumGrowthNACL","minimumGrowthPH","optimalGrowthNACLMaximal","optimalGrowthNACLMinimal","optimalGrowthPHMaximal","optimalGrowthPHMinimal","optimalGrowthTemperatureMaximal","optimalGrowthTemperatureMinimal"
"Methanohalophilus mahii",NA,NA,45,1.8,0.8,3.5,NA,NA,48.5,1.8,0.8,0.5,NA,2.5,2,7.5,7.5,37,35
"Methanohalophilus portucalensis",5,0.14,48,2,0.6,3.5,8.4,25,43,2,0.6,0.9,6,2,0.5,7.5,6.5,40,40
"Methanolacinia paynteri",4.8,0.144,42,2.5,0.6,0.4,7.3,25,44.9,1.5,0.6,0,6.6,0.15,0.15,7,7,40,40
"Methanolinea mesophila",29,0.024,40,6.5,0.3,0.427789185489,7.4,20,56.4,2,0.3,0,6.5,0,0,7,7,37,37
"Methanolinea tarda",98,0.007,55,2,1,0.256673511294,8,35,56.3,2,0.7,0,6.5,0,0,7,7,50,50
"Methanolobus bombayensis",4.5,0.156,40,1.5,1,2,8,22,39.2,1.5,1,0.3,6.5,0.5,0.5,7.2,7.2,37,37
"Methanolobus oregonensis",6.9,0.1,45,1.5,1,1.6,9.4,10,40.9,1.5,1,0.1,7.6,0.48,0.48,9.2,8.2,37,35
"Methanolobus profundi",5,0.139,37,1.2,0.9,1,7.8,9,42.4,1.2,0.9,0.1,6.1,0.35,0.35,6.6,6.5,30,30
"Methanolobus psychrophilus",15.873015873,0.063,25,1.2,1,0.8,8,0,44.9,1,0.9,0.005,6,0.25,0.2,7.2,7,18,18
"Methanolobus taylorii",6,0.116,45,0.5,0.5,1.2,9.2,5,40.8,0.5,0.5,0.05,5.7,0.6,0.4,8.7,7,37,29
"Methanolobus tindarius",NA,NA,50,1.25,0.8,1.27,8,7,45.9,1.25,0.8,0.06,5.5,0.47,0.47,6.5,6.5,28,28
"Methanolobus vulcani",5.33,0.13,45,1.25,1.25,1.2,7.5,13,39,1,1,0.1,6,0.5,0.5,7.2,7.2,40,40
"Methanolobus zinderi",9.9,0.07,50,2,2,1.8,9,25,42,1,1,0.05,6,0.6,0.2,8,7,50,40
"Methanomassiliicoccus luminyensis",NA,NA,37,0.85,0.85,0.26,8.4,37,59.93,0.85,0.85,0.02,7.2,0.17,0.06,7.6,7.6,37,37
"Methanomethylovorans hollandica",11.5,0.06,40,1.5,1.5,0.4,8,12,NA,1,1,0,6,0.04,0.04,7,6.5,37,34
"Methanomethylovorans thermophila",13.86,0.05,58,1.5,1.5,0.3,7.5,42,37.6,0.7,0.7,0,5,0.1,0.1,6.6,6.6,50,50
"Methanomethylovorans uponensis",11.5,0.06,40,1.1,1.1,0.1,7.5,25,39.2,0.9,0.9,0,5.5,NA,NA,6.5,6,37,37
"Methanomicrobium mobile",NA,NA,45,2,0.7,NA,7.7,30,49,1.5,0.7,NA,5.9,NA,NA,6.9,6.1,40,40
"Methanomicrococcus blatticola",3.15,0.22,40,0.8,0.8,0.3,8.2,20,0,0.8,0.8,0,6.8,0.1,0.1,7.7,7.2,39,39
"Methanoplanus endosymbiosus",5,0.139,36,3.4,0.8,0.75,8,16,38.7,1.6,0.5,0,6.2,0.25,0.25,7,7,32,32
"Methanoplanus limicola",7,0.099,41,2.8,0.3,0.855578370979,7.5,17,42.7,1.6,0.1,0.0684462696783,6.5,0.171115674196,0.171115674196,NA,NA,40,40
"Methanoplanus petrolearius",10,0.069,40,3,3,0.855578370979,8.4,35,47.7,1,1,0,5.3,0.513347022587,0.171115674196,7,7,40,35
"Methanopyrus kandleri",0.33,3.03,110,14,0.5,0.68,7,84,61.2,2,0.5,0.034,5.5,0.34,0.34,6.5,6.5,98,98
"Methanoregula boonei",44,0.017,40,3,0.3,0.05,5.5,10,54.5,0.8,0.2,0,4.5,0,0,5.1,5.1,37,35
"Methanoregula formicica",16.6,0.042,40,2.6,0.5,0.171,7.6,10,NA,1,0.5,0,7,0,0,7.4,7.4,33,30
"Methanosaeta concilii",65,0.011,45,6,1.3,NA,7.8,10,49,2,0.8,0,6.6,NA,NA,7.5,7.1,40,35
"Methanosaeta harundinacea",28,0.03,45,5,1,NA,9,25,60.6,3,0.8,0,6.5,NA,NA,7.6,7.2,37,34
"Methanosaeta pelagica",297.6,0.002,40,11,0.5,0.8,9.2,15,45.4,2.5,0.5,0.2,6,0.28,0.28,7.5,7.5,30,30
"Methanosaeta thermophila",36,0.019,70,5,1.2,0.9,8.4,37,53.5,5,1,0,5.5,0,0,6.8,6.6,60,55
"Methanosalsum zhilinae",5.8,0.12,NA,1.5,1.5,2.1,NA,NA,39.2,0.8,0.8,0.2,NA,0.7,0.7,9.2,9.2,45,45
